A.B. Guthrie Jr.
A.C. Abadie
A.R. Rahman
Aaron Blaise
Aaron Eckhart
Aaron Johnson
Aaron Seltzer
Aaron Tveit
Aaron Zigman
Aasif Mandvi
Abbey Lee
Abby Everett Jaques
Abby Kohn
Abdellatif Kechiche
Abe Vigoda
Abigail Breslin
Abraham Benrubi
Ada Carrasco
Adam Arkin
Adam Baldwin
Adam Biddle
Adam Brody
Adam Brooks
Adam Brown
Adam Buxton
Adam Campbell
Adam Cooper
Adam DeVine
Adam F.
Adam F. Goldberg
Adam Ferrara
Adam Godley
Adam Goldberg
Adam Greenberg
Adam Hann-Byrd
Adam Herz
Adam LeFevre
Adam Levine
Adam Nelson
Adam Pascal
Adam Roarke
Adam Sandler
Adam Schlesinger
Adam Shankman
Adam Sztykiel
Adam Tomei
Addrian Biddle
Ade
Adewale Akinnuoye-Agbaje
Adolfo Franci
Adolph Deutsch
Adolph Green
Adoni Maropis
Adrian Biddle
Adrian Johnston
Adrian Lyne
Adrian Martinez
Adrian Rawlins
Adriana Barraza
Adriano Goldman
Adrien Brody
Adrien de Van
Adrienne Corri
Adril Hussain
Adrià Collado
Adèle Exarchopoulos
Aeneas Mackenzie
Affonso Beato
Afshan Azad
Afshin Shahidi
Agenore Incrocci
Agnes Moorehead
Agnese Nano
Agustín Almodóvar
Agustín Díaz Yanes
Agustín González
Ah Ping
Aharon Ipalé
Ahmed Best
Ahna O'Reilly
Ahney Her
Ai Wan
Aida Turturro
Aidan Gillen
Aidan Quinn
Aidan Turner
Aileen Quinn
Aimee Garcia
Aisha Hinds
Aitana Sánchez-Gijón
Aitor Mazo
Akiko Monou
Akiko Takeshita
Akira Kurosawa
Akiva Goldsman
Al Checco
Al Ernest Garcia
Al Hoffman
Al Jean
Al Leong
Al Lettieri
Al Martino
Al Matthews
Al Mulock
Al Pacino
Al Ruscio
Al Thompson
Al White
Al Wilde
Alan Alda
Alan Arkin
Alan Ball
Alan Cumming
Alan Dale
Alan Doyle
Alan Ford
Alan Gilfford
Alan Hale
Alan Hale Jr.
Alan Howard
Alan Hume
Alan Jay Lerner
Alan Keyes
Alan Ladd
Alan Menken
Alan Mowbray
Alan North
Alan Parker
Alan Rachins
Alan Rickman
Alan Rubin
Alan Ruck
Alan Sharp
Alan Silvestri
Alan Tudyk
Alan Young
Alanna Ubach
Alar Kivilo
Alastair Foley
Alba Gaia Bellugi
Albert Basserman
Albert Brooks
Albert Delpy
Albert Dupontel
Albert Finney
Albert Hackett
Albert Maltz
Albert Moses
Albert Pla
Albert Salmi
Alberta Watson
Alberto Ammann
Alberto Chaves
Alberto De Martino
Alberto Iglesias
Alberto Romea
Alberto San Juan
Alberton Morin
Aldo Giordani
Aldo Giuffrè
Aldo Sambrell
Alec Baldwin
Alec Guinness
Alec McCowen
Alec Sokolow
Alejandro Agresti
Alejandro Amenábar
Alejandro González Iñárritu
Alejo Sauras
Aleksandr Kaidanovsky
Aleksandr Knyazhinsky
Alessandro Cicognini
Alessandro Nivola
Alessia Marcuzzi
Alex Borstein
Alex Burton
Alex Catalán
Alex D. Linz
Alex Dimitriades
Alex Garland
Alex Gerry
Alex Karras
Alex Kingston
Alex Kurtzman
Alex Kurtzman-Counter
Alex Lowe
Alex Martínez
Alex McAvoy
Alex McCrindle
Alex Meraz
Alex Nepomniaschy
Alex Nicol
Alex North
Alex Norton
Alex O'Dogherty
Alex O'Loughlin
Alex Palmer
Alex Proyas
Alex Rocco
Alex Romero
Alex Scott
Alex Thomson
Alex Tse
Alex Wurman
Alexa Vega
Alexander Armstrong
Alexander Godunov
Alexander Granach
Alexander Janko
Alexander Knox
Alexander Ludwig
Alexander Siddig
Alexander Skarsgård
Alexandra Jiménez
Alexandra Maria Lara
Alexandra Vandernoot
Alexandre Charlot
Alexandre Desplat
Alexandre Rodrigues
Alexandre Tharaud
Alexei Sayle
Alexia Robinson
Alexie Gilmore
Alexis Bledel
Alexis Cruz
Alexis Denisof
Alexis Knapp
Alexis Rhee
Alexis Smith
Alexis Thorpe
Alexis Valdés
Alf Clausen
Alfie Enoch
Alfonso Albacete
Alfonso Aragón
Alfonso Arau
Alfonso Bedoya
Alfonso Cuarón
Alfonso Freeman
Alfonso de Vilallonga
Alfred Abel
Alfred Gilks
Alfred Lutter
Alfred Molina
Alfred Newman
Alfredo F. Mayo
Alfredo Landa
Alfredo Rizzo
Ali Larter
Ali MacGraw
Alia Janine
Alice Braga
Alice Carter
Alice Drummond
Alice Eve
Alice Ghostley
Alice Lowe
Alice Pearce
Alicia Coppola
Alicia Silverstone
Alicia Witt
Aline Brosh McKenna
Aline MacMahon
Alisa Freyndlikh
Alison Doody
Alison Elliott
Alison Lohman
Alison Pill
Alistair Brammer
Allan Carr
Allan Garcia
Allan Gray
Allan Jones
Allan Loeb
Allan Scott
Allan Weiss
Allegra Carpenter
Allelon Ruggiero
Allen Coulter
Allen Covert
Allen Daviau
Allen Garfield
Allen Jenkins
Allison Janney
Allison McCurdy
Ally Walker
Allyn Ann McLerie
Alma Jodorowsky
Alon Aboutboul
Althea Gibson
Alun Armstrong
Alun Owen
Alvin Sargent
Alwin Kuchler
Alyson Hannigan
Alyson Reed
Aman Johal
Amanda Blake
Amanda Bynes
Amanda Donohoe
Amanda Fairbank-Hynes
Amanda Foreman
Amanda Michalka
Amanda Peet
Amanda Plummer
Amanda Seyfried
Amanda Silver
Amanda Swisten
Amandla Stenberg
Amaury Nolasco
Amber Beattie
Amber Heard
Amber Scott
Amber Tamblyn
Amber Valletta
Amelie Kiefer
Amin Joseph
Amir Aboulela
Amrish Puri
Amy Adams
Amy Brenneman
Amy Eccles
Amy Esterle
Amy Hill
Amy Irving
Amy Locane
Amy O'Neill
Amy Rosoff
Amy Ryan
Amy Sedaris
Amy Smart
Amy Yasbeck
Ana Dela Cruz
Ana Gasteyer
Ana Gracia
Ana Polvorosa
Ana Risueño
Ana de Armas
Analeigh Tipton
Anatoly Solonitsyn
Andie MacDowell
Andie Macdowell
Andre Bijelic
Andre Gregory
Andre Previn
Andrea Corr
Andrea Eckert
Andrea Esterhazy
Andrea Guerra
Andrea King
Andrea Martin
Andrea Nemeth
Andrea Powell
Andrea Riseborough
Andreas Katsulas
Andrei Tarkovsky
Andres Heinz
Andreu Buenafuente
Andrew Adamson
Andrew Bergman
Andrew Crayford
Andrew Davies
Andrew Davis
Andrew Divoff
Andrew Dominik
Andrew Dunn
Andrew Friedman
Andrew Keegan
Andrew Laszlo
Andrew Lesnie
Andrew Lincoln
Andrew Lloyd Webber
Andrew Lloyd Weber
Andrew MacLachlan
Andrew Miller
Andrew Niccol
Andrew Pleavin
Andrew Scott
Andrew Secombe
Andrew Stanton
Andrew Strong
Andrew Tieman
Andrij Parekh
Andrzej Bartowiak
Andrzej Sekula
André Braugher
André Dussollier
André Morell
André Previn
André Ramiro
André the Giant
Andrés Lima
Andrés Sáenz de Heredia
Andy Beckwith
Andy Devine
Andy Dick
Andy García
Andy Lindberg
Andy Nyman
Andy Robinson
Andy Samberg
Andy Secombe
Andy Serkis
Andy Tennant
Andy Wachowski
Andy Yerkes
Ang Lee
Angela Bassett
Angela Featherstone
Angela Goethals
Angela Jones
Angela Lansbury
Angela Paton
Angelica Mandy
Angelina Estrada
Angelina Jolie
Angeline Ball
Angelo Badalamenti
Angelo Milli
Angie Dickinson
Angie Harmon
Angus Barnett
Angus Lennie
Angus MacFadyen
Angus Sampson
Angélica Aragón
Ania Iglesias
Aniela McGuinness
Anika Noni Rose
Anil Kapoor
Animation
Anjelica Huston
